Date,Year,Type,Application,Product,Active Ingredients,Rate per Acre,Total Per Tank,Total Tanks,Total Applied,Tank Size,GPA Sprayed,# of tanks,Total Acres,N Units,P Units,K Units
2023-02-18,2023,Fertilizer,Under Trees,10-10-10,10-10-10 Granular,16oz per tree,,,1500lbs,,,,10.0,,,
2023-03-30,2023,Herbicide,Under Trees,Total TNV,Glufosinate Ammonium,64oz,,,7 qts,,,,10.0,,,
2023-03-30,2023,Herbicide,Under Trees,Roundup Powermax 3,Glyphosate 51.2%,,,,4 qts,,,,10.0,,,
2023-03-30,2023,Crop Oil,Under Trees,Class Act,Crop Oil,,,,5 qts,,,,10.0,,,
2023-03-31,2023,Insecticide,Drip,Advise 4,Imidicloprid 40%,,,,1 gallon,,,,10.0,,,
2023-04-04,2023,Insecticide,Under Trees,Tundra EC,Bifenthrin 25%,9.6oz,,,3 qts,,,,10.0,,,
2023-05-03,2023,Insecticide,Drip,Advise 4,Imidicloprid 40%,,,,1 gallon,,,,10.0,,,
2023-05-08,2023,Herbicide (Residual),Under Trees,Alion,Indaziflam 19.05%,3OZ,,,10 oz,,,,10.0,,,
2023-05-08,2023,Herbicide,Under Trees,Roundup Powermax 3,Glyphosate 51.2%,,,,3qts,,,,10.0,,,
2023-05-08,2023,Crop Oil,Under Trees,Class Act,Crop Oil,,,,1qt,,,,10.0,,,
2023-06-09,2023,Insecticide,Drip,Advise 4,Imidicloprid 40%,,,,1 gallon,,,,10.0,,,
2023-06-09,2023,Fertilizer,Drip,Fertilizer,20-20-20,25lbs,,,250 lbs,,,,10.0,,,
2023-07-17,2023,Crop Oil,Under Trees,Class Act,Crop Oil,,,,48 oz,,,,10.0,,,
2023-07-17,2023,Herbicide,Under Trees,Roundup (Makaze),Glyphosate 51.2%,,,,240 oz,,,,10.0,,,
2023-08-09,2023,Insecticide,On Trees,Abba Ultra (Averland),Abamectin 3.74%,4.25oz,,,30oz,,,,10.0,,,
2023-08-09,2023,Insecticide,On Trees,Intrepid Edge,,16oz,,,96oz,,,,10.0,,,
2023-08-09,2023,Fungicide,On Trees,Abound (Azoxystrobin),,16oz,,,96oz,,,,10.0,,,
2023-08-10,2023,Insecticide,Drip,Advise 4,Imidicloprid 40%,,,,128 oz,,,,10.0,,,
2023-08-20,2023,Fertilizer,Drip,Fertilizer,20-20-20,,,,5 bags,25g + 65g liquid,,2.0,10.0,,,
2023-09-09,2023,Herbicide,Under Trees,Total TNV,Glufosinate Ammonium,64oz,,,,,,,,,,
2023-09-09,2023,Herbicide,Under Trees,Cornerstone(Roundup),41% Glyphosate ,32oz,,,,,,,,,,
2023-09-09,2023,Crop Oil,Under Trees,Class Act,,16oz,,,,,,,,,,
2024-02-03,2024,Fertilizer,Under Trees,21-2-5,Granular Fertilizer,175lbs,,,1750 lbs (35 x 50lb bags),,,,10.0,36.0,3.5,8.75
2024-02-20,2024,Herbicide,Under Trees,Makaze roundup,Glyphosate 41%,32oz,,,256 oz,25 gallon,,4.0,10.0,,,
2024-02-20,2024,Herbicide (Residual),Under Trees,Valor liquid,Flumioxazin 41.4%,6oz,,,48 oz,25 gallon,,4.0,10.0,,,
2024-03-12,2024,Insecticide,Drip,Advise 4,Imidicloprid 40%,12 oz,,,1 gallon,,,,10.0,,,
2024-03-12,2024,Fertilizer,Drip,10-34-0 Liquid,,5 gallons,,,50gallons,65gallon,,1.0,10.0,5.0,20.0,0
2024-04-20,2024,Insecticide,Drip,Advise 4,Imidicloprid 40%,12 oz,,,1 gallon,,,,10.0,,,
2024-04-20,2024,Fertilizer,Drip,Fertilizer,20-20-20,12.5lbs,,,5 bags x 25lbs 125lbs,55gallon liquid,,,10.0,2.5,2.5,2..5
2024-05-25,2024,Herbicide,Under Trees,Cornerstone Plus,41% Glyphosate ,32oz,64oz,2.0,128 oz,25g,10.0,2.0,10.0,,,
2024-05-25,2024,Herbicide,Under Trees,Total TNV,Glufosinate Ammonium,64oz,128oz,2.0,256oz,25g,10.0,2.0,10.0,,,
2024-05-25,2024,Crop Oil,Under Trees,Class Act,Crop Oil,16oz,32oz,2.0,64oz,25g,10.0,2.0,10.0,,,
